review,rating,date,bank,source,app_version,thumbs_up,scrape_date
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
what is this app problem???,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
the app is proactive and a good connections.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
I cannot send to cbebirr app. through this app.,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
good,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
not functional,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
best,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
bezabih,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Best Mobile Banking app ever,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Good,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
very niec,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
best app of finance,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
yetemeta,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Engida Kebede Fetera,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it is not safety,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
NICE bank,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it is like a childish app make it better the worst I have ever seen,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
"It's a problem solver application, go ahead CBE, I love so much.",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
It's good but try to make it facilitate for your client,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
best app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Awesome bank,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,56,6/7/2025
Masha alla,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
better service,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"it,s good app and time manager 👍",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
malkaamuu Jiidhaa Namoo,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
lower system everything,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Nice!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Keep it up My CBE,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
yes good,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,2,6/7/2025
i like everything of this app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
🤬🤬🤬🤬 network 🛜,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Best,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
nice,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
good job,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
it's awesome!!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
thankyou every one,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Ronaldo 🇵🇹 🥇,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,13,6/7/2025
mortuary app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it is smart app but it has stoped after some period of time on my device with out any reason .,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
amazing app I am used this app for one year,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
