bank,review,rating,sentiment_label,sentiment_score
Commercial Bank of Ethiopia,More than garrantty bank EBC.,4,NEGATIVE,0.9680941104888916
Commercial Bank of Ethiopia,really am happy to this app it is Siple to use everything,5,POSITIVE,0.9994999170303345
Commercial Bank of Ethiopia,I liked this app. But the User interface is very basic and not attractive at all.,2,POSITIVE,0.9995747208595276
Commercial Bank of Ethiopia,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,NEGATIVE,0.944917619228363
Commercial Bank of Ethiopia,what is this app problem???,1,NEGATIVE,0.9991914629936218
Commercial Bank of Ethiopia,the app is proactive and a good connections.,5,POSITIVE,0.9998316764831543
Commercial Bank of Ethiopia,I cannot send to cbebirr app. through this app.,3,NEGATIVE,0.9793662428855896
Commercial Bank of Ethiopia,good,4,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,not functional,1,POSITIVE,0.9993332028388977
Commercial Bank of Ethiopia,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,NEGATIVE,0.9979497790336609
Commercial Bank of Ethiopia,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,NEGATIVE,0.9489452838897705
Commercial Bank of Ethiopia,best,5,POSITIVE,0.9995703101158142
Commercial Bank of Ethiopia,bezabih,5,POSITIVE,0.9654072523117065
Commercial Bank of Ethiopia,Best Mobile Banking app ever,5,POSITIVE,0.9997095465660095
Commercial Bank of Ethiopia,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,POSITIVE,0.9963894486427307
Commercial Bank of Ethiopia,Good,5,POSITIVE,0.9998161196708679
